Label,FinalPerformance
resnet50/PUM/layer_17_type_0/Traces/trace_19,86760114.0
resnet50/PUM/layer_17_type_0/Traces/trace_30,313954956.0
resnet50/PUM/layer_17_type_0/Traces/trace_26,25350572.0
resnet50/PUM/layer_17_type_0/Traces/trace_7,25353912.0
resnet50/PUM/layer_17_type_0/Traces/trace_3,86770768.0
resnet50/PUM/layer_17_type_0/Traces/trace_1,22555960.0
resnet50/PUM/layer_17_type_0/Traces/trace_12,51791888.0
resnet50/PUM/layer_17_type_0/Traces/trace_25,38829854.0
resnet50/PUM/layer_17_type_0/Traces/trace_6,313994744.0
resnet50/PUM/layer_17_type_0/Traces/trace_36,347241076.0
resnet50/PUM/layer_17_type_0/Traces/trace_29,155265516.0
resnet50/PUM/layer_17_type_0/Traces/trace_17,25876944.0
resnet50/PUM/layer_17_type_0/Traces/trace_18,177475844.0
resnet50/PUM/layer_17_type_0/Traces/trace_9,78504468.0
resnet50/PUM/layer_17_type_0/Traces/trace_11,89701416.0
resnet50/PUM/layer_17_type_0/Traces/trace_31,43391194.0
resnet50/PUM/layer_17_type_0/Traces/trace_33,45233496.0
resnet50/PUM/layer_17_type_0/Traces/trace_28,24794796.0
resnet50/PUM/layer_17_type_0/Traces/trace_22,11309886.0
resnet50/PUM/layer_17_type_0/Traces/trace_2,88738692.0
resnet50/PUM/layer_17_type_0/Traces/trace_13,43405341.0
resnet50/PUM/layer_17_type_0/Traces/trace_23,51788080.0
resnet50/PUM/layer_17_type_0/Traces/trace_38,90185480.0
resnet50/PUM/layer_17_type_0/Traces/trace_4,607671883.0
resnet50/PUM/layer_17_type_0/Traces/trace_20,45217704.0
resnet50/PUM/layer_17_type_0/Traces/trace_35,22191792.0
resnet50/PUM/layer_18_type_0/Traces/trace_34,18987598.0
resnet50/PUM/layer_18_type_0/Traces/trace_10,90443472.0
resnet50/PUM/layer_18_type_0/Traces/trace_15,25911620.0
resnet50/PUM/layer_18_type_0/Traces/trace_14,89702704.0
resnet50/PUM/layer_18_type_0/Traces/trace_24,43383669.0
resnet50/PUM/layer_18_type_0/Traces/trace_5,51257952.0
resnet50/PUM/layer_18_type_0/Traces/trace_0,37985094.0
resnet50/PUM/layer_18_type_0/Traces/trace_39,12942856.0
resnet50/PUM/layer_18_type_0/Traces/trace_21,38826228.0
resnet50/PUM/layer_18_type_0/Traces/trace_16,180391008.0
resnet50/PUM/layer_18_type_0/Traces/trace_32,358781472.0
resnet50/PUM/layer_18_type_0/Traces/trace_8,50709936.0
resnet50/PUM/layer_18_type_0/Traces/trace_27,12937576.0
resnet50/PUM/layer_18_type_0/Traces/trace_37,303840278.0
resnet50/PUM/layer_18_type_0/Traces/trace_19,25899816.0
resnet50/PUM/layer_18_type_0/Traces/trace_30,354864328.0
resnet50/PUM/layer_18_type_0/Traces/trace_26,11094244.0
resnet50/PUM/layer_18_type_0/Traces/trace_7,18987598.0
resnet50/PUM/layer_18_type_0/Traces/trace_3,12920496.0
resnet50/PUM/layer_18_type_0/Traces/trace_1,25839456.0
resnet50/PUM/layer_18_type_0/Traces/trace_12,10851645.0
resnet50/PUM/layer_18_type_0/Traces/trace_25,18987598.0
resnet50/PUM/layer_18_type_0/Traces/trace_6,621208280.0
resnet50/PUM/layer_18_type_0/Traces/trace_36,22429568.0
resnet50/PUM/layer_18_type_0/Traces/trace_29,45094728.0
resnet50/PUM/layer_18_type_0/Traces/trace_17,45095680.0
resnet50/PUM/layer_18_type_0/Traces/trace_18,177484776.0
resnet50/PUM/layer_18_type_0/Traces/trace_9,22664166.0
resnet50/PUM/layer_18_type_0/Traces/trace_11,43389087.0
resnet50/PUM/layer_18_type_0/Traces/trace_31,44851912.0
resnet50/PUM/layer_18_type_0/Traces/trace_33,45101056.0
resnet50/PUM/layer_18_type_0/Traces/trace_28,22647142.0
resnet50/PUM/layer_18_type_0/Traces/trace_22,179438784.0
resnet50/PUM/layer_18_type_0/Traces/trace_2,78929004.0
resnet50/PUM/layer_18_type_0/Traces/trace_13,45301900.0
resnet50/PUM/layer_18_type_0/Traces/trace_23,90204576.0
resnet50/PUM/layer_18_type_0/Traces/trace_38,179387096.0
resnet50/PUM/layer_18_type_0/Traces/trace_4,51256768.0
resnet50/PUM/layer_18_type_0/Traces/trace_20,10851106.0
resnet50/PUM/layer_18_type_0/Traces/trace_35,12947972.0
resnet50/PUM/layer_21_type_0/Traces/trace_34,88725756.0
resnet50/PUM/layer_21_type_0/Traces/trace_10,45100160.0
resnet50/PUM/layer_21_type_0/Traces/trace_15,45101056.0
resnet50/PUM/layer_21_type_0/Traces/trace_14,90202112.0
resnet50/PUM/layer_21_type_0/Traces/trace_24,51537760.0
resnet50/PUM/layer_21_type_0/Traces/trace_5,37990876.0
resnet50/PUM/layer_21_type_0/Traces/trace_0,180866560.0
resnet50/PUM/layer_21_type_0/Traces/trace_39,38826228.0
resnet50/PUM/layer_21_type_0/Traces/trace_21,11094244.0
resnet50/PUM/layer_21_type_0/Traces/trace_16,310546614.0
resnet50/PUM/layer_21_type_0/Traces/trace_32,88723152.0
resnet50/PUM/layer_21_type_0/Traces/trace_8,25630704.0
resnet50/PUM/layer_21_type_0/Traces/trace_27,177453808.0
resnet50/PUM/layer_21_type_0/Traces/trace_37,177480464.0
resnet50/PUM/layer_21_type_0/Traces/trace_19,12920496.0
resnet50/PUM/layer_21_type_0/Traces/trace_30,51792976.0
resnet50/PUM/layer_21_type_0/Traces/trace_26,25839104.0
resnet50/PUM/layer_21_type_0/Traces/trace_7,21702877.0
resnet50/PUM/layer_21_type_0/Traces/trace_3,12815792.0
resnet50/PUM/layer_21_type_0/Traces/trace_1,151875500.0
resnet50/PUM/layer_21_type_0/Traces/trace_12,12815640.0
resnet50/PUM/layer_21_type_0/Traces/trace_25,22626380.0
resnet50/PUM/layer_21_type_0/Traces/trace_6,51535520.0
resnet50/PUM/layer_21_type_0/Traces/trace_36,89701416.0
resnet50/PUM/layer_21_type_0/Traces/trace_29,45107664.0
resnet50/PUM/layer_21_type_0/Traces/trace_17,44854740.0
resnet50/PUM/layer_21_type_0/Traces/trace_18,22632092.0
resnet50/PUM/layer_21_type_0/Traces/trace_9,22664166.0
resnet50/PUM/layer_21_type_0/Traces/trace_11,347069352.0
resnet50/PUM/layer_21_type_0/Traces/trace_31,177439444.0
resnet50/PUM/layer_21_type_0/Traces/trace_33,11285820.0
resnet50/PUM/layer_21_type_0/Traces/trace_28,180384400.0
resnet50/PUM/layer_21_type_0/Traces/trace_22,50709464.0
resnet50/PUM/layer_21_type_0/Traces/trace_2,12920304.0
resnet50/PUM/layer_21_type_0/Traces/trace_13,9717582.0
resnet50/PUM/layer_21_type_0/Traces/trace_23,25631280.0
resnet50/PUM/layer_21_type_0/Traces/trace_38,45095064.0
resnet50/PUM/layer_21_type_0/Traces/trace_4,44856392.0
resnet50/PUM/layer_21_type_0/Traces/trace_20,180861184.0
resnet50/PUM/layer_21_type_0/Traces/trace_35,90204576.0
resnet50/PUM/layer_11_type_0/Traces/trace_34,90195504.0
resnet50/PUM/layer_11_type_0/Traces/trace_10,45107664.0
resnet50/PUM/layer_11_type_0/Traces/trace_15,90195504.0
resnet50/PUM/layer_11_type_0/Traces/trace_14,75934712.0
resnet50/PUM/layer_11_type_0/Traces/trace_24,43405754.0
resnet50/PUM/layer_11_type_0/Traces/trace_5,173563572.0
resnet50/PUM/layer_11_type_0/Traces/trace_0,44370116.0
resnet50/PUM/layer_11_type_0/Traces/trace_39,151928812.0
resnet50/PUM/layer_11_type_0/Traces/trace_21,90191360.0
resnet50/PUM/layer_11_type_0/Traces/trace_16,51545472.0
resnet50/PUM/layer_11_type_0/Traces/trace_32,179401152.0
resnet50/PUM/layer_11_type_0/Traces/trace_8,354915232.0
resnet50/PUM/layer_11_type_0/Traces/trace_27,22553832.0
resnet50/PUM/layer_11_type_0/Traces/trace_37,155302070.0
resnet50/PUM/layer_11_type_0/Traces/trace_19,173606916.0
resnet50/PUM/layer_11_type_0/Traces/trace_30,88721192.0
resnet50/PUM/layer_11_type_0/Traces/trace_26,44365608.0
resnet50/PUM/layer_11_type_0/Traces/trace_7,173556348.0
resnet50/PUM/layer_11_type_0/Traces/trace_3,103357056.0
resnet50/PUM/layer_11_type_0/Traces/trace_1,51544064.0
resnet50/PUM/layer_11_type_0/Traces/trace_12,709806048.0
resnet50/PUM/layer_11_type_0/Traces/trace_25,410040704.0
resnet50/PUM/layer_11_type_0/Traces/trace_6,51266688.0
resnet50/PUM/layer_11_type_0/Traces/trace_36,103076800.0
resnet50/PUM/layer_11_type_0/Traces/trace_29,44372832.0
resnet50/PUM/layer_11_type_0/Traces/trace_17,90447728.0
resnet50/PUM/layer_11_type_0/Traces/trace_18,22208928.0
resnet50/PUM/layer_11_type_0/Traces/trace_9,358829856.0
resnet50/PUM/layer_11_type_0/Traces/trace_11,173563572.0
resnet50/PUM/layer_11_type_0/Traces/trace_31,205029056.0
resnet50/PUM/layer_11_type_0/Traces/trace_33,90212640.0
resnet50/PUM/layer_11_type_0/Traces/trace_28,155302070.0
resnet50/PUM/layer_11_type_0/Traces/trace_22,19751949.0
resnet50/PUM/layer_11_type_0/Traces/trace_2,101415648.0
resnet50/PUM/layer_11_type_0/Traces/trace_13,45106320.0
resnet50/PUM/layer_11_type_0/Traces/trace_23,51791888.0
